language,number_occurrences,translations_freq
aai,18,{'$mamu$': 18}
aak,18,{'$iŋí̵': 17}
aau,18,{'$ahney$': 18}
aaz,42,"{'$koro': 26, '$koorn$e': 11}"
abt,18,{'$api$': 17}
abx,18,{'manuk-ma': 18}
aby,18,"{'$gasir': 13, '$i$ada$i': 2, 'ro$ada': 2}"
aca,12,"{'íshiiduc': 9, '$linácai': 2}"
acd,18,{'$nbuii': 18}
ace,18,{'$cicém': 18}
acf,18,{'$jibyé': 18}
ach,18,"{'$winyo$m': 9, '$kodi$mo': 2, 'winyo$du': 2, '$me$pa$': 2}"
acn,18,{'$nghoq$': 18}
acr,18,"{""$quexiq'"": 13, ""$tz'iqui"": 5}"
acu,18,"{'anamtin$': 9, 'chingki$': 9}"
ade,18,{'$bâsæsær': 18}
adh,18,{'$winyin$': 18}
adi,18,{'$pettang': 18}
adj,18,"{'ŋ$ɔr$': 8, '$ɔr$': 9}"
adl,18,{'$pëta$': 18}
ady,31,{'бзыу': 28}
adz,24,{'$dzuf': 22}
aeb,18,{'يُورْ$': 17}
aeu,18,{'keivq-av': 18}
aey,42,{'$man$fu': 39}
afr,135,{'voël': 135}
agd,18,"{'$nun$kay': 14, 'tumpan$k': 2}"
agg,18,{'$ndu$': 18}
agm,18,"{'$koho$': 12, 'unɨ$koh': 2}"
agn,18,{'a$lamlam': 16}
agr,18,"{'$pishak$': 10, '$chigki': 6}"
agt,18,{'$mamanuk': 18}
agu,18,"{""$ch'u'l$"": 9, ""hixicy'i"": 5}"
agw,135,{'$manu$': 121}
agx,4,"{'$мугар$': 2, '$уза': 2}"
ahk,18,{'$aˇ$jiˇ': 18}
aia,18,{'$manu$': 18}
aii,30,{'ܛܲܝܪ': 26}
aim,18,"{'$vate': 11, 'vangai$o': 2, '$vahai': 2}"
aji,18,{'â$mür̂ü': 17}
ajz,18,"{'wohel$': 12, '$awo$': 4}"
akb,18,{'$unggas$': 16}
ake,18,{'$toron$a': 18}
akh,18,"{'$sao$sem': 9, 'u$nismis': 3, 'nom$su$s': 2, 'sab$sem$': 2}"
ald,18,{'$annrɛ': 18}
alj,18,"{'a$bantog': 15, 'mga$agin': 2}"
aln,135,"{'$zog': 99, 'turuese$': 19}"
alp,18,"{'$manua': 14, '$alai$': 3}"
alq,18,{'$pinecij': 18}
alt,18,{'куш': 18}
aly,38,"{'$thip': 29, 'nwenth$i': 3, 'ram-': 2}"
alz,18,{'$winyo$': 18}
ame,18,"{'$ot̃ec̈h': 10, 'tyeñ$pat': 3, '$ot̃nesh': 2, ""$tse'mac"": 2}"
amf,18,{'$apti': 18}
amh,18,{'ወፎች': 17}
amk,18,{'$romu': 18}
amm,18,"{'$uoyo$na': 3, '$touwoso': 3, 'oimuwano': 3, 'wou$mo$a': 2, 'uno$toni': 2, 'oloni$si': 2}"
amn,18,{'$twafig': 17}
amp,18,"{'$nungam$': 15, '$tirf$': 2}"
amr,18,{'$bakoy': 16}
amu,18,{'cantsaa$': 17}
amx,3,{'$thep': 3}
ann,18,"{'$unọn$òw': 9, '$ofut$': 5, '$unọn$in': 3}"
anv,18,"{'$denywɔn': 11, 'nwyɔné$d': 4, '$dénywɔn': 2}"
aoi,29,{'$wurraji': 25}
aoj,18,{'$amiguf': 18}
aom,18,{'$ug': 18}
aon,18,{'$armiguh': 18}
aoz,18,{'$kolo': 18}
apb,18,"{'$mo$menu': 15, 'a$manu$': 3}"
ape,18,{'$almiguh': 18}
apn,18,"{'$kuwênhr': 9, 'y$piitã': 4, '$nhônhti': 3}"
apr,18,{'$di$man$': 17}
apt,18,{'$piita$': 18}
apu,18,"{'$kotipir': 12, 'raãkani$': 4}"
apw,18,{'$dlǫ́’$': 17}
apy,18,"{'$torõ$t': 13, 'e$kurumu': 2, '$torõ$p': 2}"
apz,18,"{'ɨhufo$so': 9, 'ne$iyo$s': 3, '$yɨhufo': 5}"
arb,135,"{'يُور': 77, 'لطَّائِر': 14, 'طَيْر': 13, 'طَائِر': 17}"
are,18,{'$thepa': 17}
arl,18,"{'aacuatuj': 8, '$shuhuar': 8}"
arn,18,{'$üñüm$': 18}
arp,4,{'$neahe': 4}
ary,10,"{'ُورْ$الس': 6, 'نْ$كَيْز': 3}"
arz,135,"{'طُيُور': 51, 'لطُّيُور': 24, 'عُصْفُور': 21, 'طَيْر': 12, 'ُحُوشِ$ٱ': 2, 'ائِر': 9}"
asg,18,{'$nnu$': 16}
aso,18,"{'vo$nama': 7, 'ha$nama$': 3, 'pateli$m': 2, '$gulosi$': 2, ""'$nama$g"": 2}"
ata,42,{'$ta$ngia': 38}
atb,18,"{'$nghoq$p': 8, 'ulat$ngh': 4, '$é$nghoq': 3, '$yê$': 2}"
atd,18,{'mgo$manu': 18}
atg,18,{'$ipfeli$': 18}
att,18,{'mammánù$': 18}
auc,18,"{'$ayamöid': 11, '$öömä$ë': 5}"
aui,2,{'a$manu$': 2}
auy,18,{'$numa': 16}
ava,18,{'$хіанчі': 17}
avt,18,{'$hore$': 18}
avu,18,{'$ãríwá$': 17}
awa,18,"{'$पंछी': 5, '$चिड़िय': 6, '$चिरिय': 3, '$चिरइयन$': 3}"
awb,18,"{'$kabara': 15, 'bárámárí': 2}"
awi,18,{'$smir': 17}
awx,24,"{'$kwäwi': 17, '$awepmäk': 3, 'wän$hopi': 2}"
ayo,18,"{'$chugúp': 15, 'a$chungú': 2}"
ayr,135,{'$jamach’': 121}
aze,135,"{'$гуш': 110, 'анадлы$м': 19}"
azg,18,"{'quintsa': 15, ""'naan$qu"": 2}"
azz,18,{'tototzit': 16}
bak,18,{'$ҡоштар': 18}
bam,18,{'$kɔnɔw$': 16}
ban,18,"{'kedise$': 8, 'paksine$': 4, 'ne$ngray': 4}"
bao,18,"{'$minia$': 15, 'apari$dʉ': 3}"
bar,135,"{'vögl$': 94, 'vogl': 25}"
bav,18,{'ənwə$': 18}
bba,135,{'$gunɔ': 118}
bbb,43,"{'$ume$b': 12, 'ume$ni$b': 7, 'bune$ume': 4, 'ro$nae$': 3, '$ume$ro$': 5, 'ro$ume$': 5}"
bbc,18,{'$pidong$': 18}
bbj,18,"{'msəŋ$': 10, 'msə́ŋ$': 3, 'ap$ntha$': 3}"
bbr,18,"{'$ai$raut': 11, '$ai$a': 4}"
bch,42,"{'gid$man$': 35, 'ia$ga$m': 4}"
bci,18,"{""nunman'm"": 9, 'ye$anunm': 3, 'in$anunm': 2, 'anunman$': 4}"
bcl,18,{'a$gamgam': 18}
bco,3,{'$no꞉$ko꞉': 3}
bcw,18,"{""$'yegwer"": 17}"
bdd,18,{'$bwasumo': 18}
bdh,18,{'$solụ́': 18}
bea,2,{'$chua$': 2}
bef,18,"{'$namam': 12, '$ana$sag': 2, 'mo$melet': 2}"
bel,18,{'$птуш': 18}
bem,135,"{'fyuni$': 79, 'cuni$': 30, 'ipupuka$': 21}"
ben,135,{'$পাখী': 123}
beq,18,{'$banoni$': 17}
bex,18,{'$yali$': 18}
bfd,18,"{'$bɨ̀sɨ': 12, '$bɨ̂sɨŋ$': 4}"
bfo,18,{'lili': 16}
bgr,18,"{'$vâ$': 13, '$va$tla$': 5}"
bgs,42,"{'a$manuk$': 35, 'n$manuk$': 5}"
bgz,18,{'tomisi$': 18}
bhg,8,"{'$nim': 5, 'ni$wasid': 3}"
bhl,47,{'$awon$': 47}
bhp,18,{'$nasi': 18}
bib,18,{'$bɛnnɔ$': 16}
big,18,"{'nakwilig': 9, 'ya$winak': 7}"
bim,18,"{'$nɔɔnii$': 15, '$kɔɔt$bo': 2}"
bis,18,"{'$ol$piji': 14, '$pijin$': 4}"
biu,18,{'$iva': 18}
biv,18,{'$lubil': 18}
bjr,42,{'$ufin': 37}
bjv,18,{'$yəl$je$': 18}
bkd,18,{'ga$tagbi': 18}
bkq,18,"{'awâgunei': 11, 'nhamuind': 3, 'eim$sâ': 3}"
bku,18,{'$manok$': 18}
bkv,18,{'anyin$': 18}
blh,18,{'$nyànd': 18}
blw,18,{'sole$': 16}
blz,18,"{""$sapu'"": 18}"
bmb,18,{'$banoni$': 17}
bmh,18,{'$meg$': 18}
bmk,2,{'a$kiu$i': 2}
bmq,18,{'$ɲuɓuwez': 16}
bmr,18,"{'$joomɨ$': 14, 'oo$asimɨ': 2}"
bmu,42,{'$nei': 42}
bnj,18,{'$manuk$': 18}
bnp,62,{'a$kadiro': 58}
boa,18,"{'$wahpéjt': 12, '$wáváráj': 3, '$pamévá$': 2}"
bod,117,"{'བྱིའུ': 37, 'བྱ་དང་': 16, 'འདབ་ཆགས་': 17, '$བྱ་': 10, '་བྱ་': 29}"
boj,18,{'$qebari$': 18}
bom,18,"{'$benon$': 15, '$benɛ́t$': 2}"
bon,18,"{'$ele$cin': 9, '$ele$bim': 4, 'iicwale$': 4}"
box,18,{'a$ɲínzàw': 17}
bpr,18,{'$dad$anu': 16}
bps,18,{'$anuk$di': 17}
bqc,135,"{'$bãↄ': 73, '$bã$': 35, '$lán$bã': 4, '$bã': 7}"
bqj,18,{'$upu$': 17}
bqp,18,{'$bãnↄ': 16}
bre,10,{'$labouse': 10}
bru,18,{'$chớm$': 16}
bsc,18,{'$oŝël$': 16}
bsn,18,"{'$minia': 13, '$vʉrã': 5}"
bsp,31,{'$bɛmp$': 28}
bss,18,{'$menɔn': 18}
btd,18,{'$manuk-m': 17}
bth,18,{'$manuk$': 16}
bto,18,{'$pidong$': 18}
bts,18,{'$manuk-m': 18}
btt,18,{'$linyun$': 16}
btx,18,{'$perik-p': 17}
bud,18,"{'$nnɔmbiy': 10, '$inoon$': 7}"
bug,18,"{""$manu'-m"": 18}"
buk,18,"{'$mbac$lô': 8, '$mbac$ho': 4, '$mbac$sê': 2}"
bul,135,"{'$пти': 106, '$летя': 27}"
bum,135,"{'anon': 84, 'ônon': 31}"
bus,18,{'$bãa': 18}
bvr,18,{'$burdach': 18}
bvz,18,{'$bume': 18}
bwd,24,{'$manug': 22}
bwq,18,{'$yala$': 16}
bwu,18,{'$nui': 18}
bxh,26,{'$ataiꞌa': 23}
bxr,18,"{'$шубууд': 15, 'раата$үн': 2}"
byr,35,"{'$yusara': 16, '$yuta': 9, 'aanga$tɨ': 7}"
byx,18,{'ama$uaik': 17}
bzd,18,{'$dù': 16}
bzh,18,"{'soḳ$': 15, 'ek$dob$l': 2}"
bzi,18,{'$ฮาย่า$': 17}
bzj,18,{'$berd$': 18}
caa,18,"{'$e$mut$': 12, '$mut$': 6}"
cab,18,{'dunúru$': 18}
cac,135,"{""noc'$muc"": 95, ""c'$ostoc"": 19, ""o'$noc'$"": 2}"
caf,18,"{""$dut'ai"": 18}"
cag,18,{'ava$ajôc': 17}
cak,135,"{""$aj-xik'"": 116}"
cao,18,{'$isa$': 17}
cap,18,{'$wez̈lan': 16}
caq,135,{'hechōn$': 117}
car,18,{'$tonoro$': 18}
cas,18,{'$jaijtyi': 18}
cat,18,{'ocells$': 16}
cav,18,{'$upati$': 16}
cax,18,{'nutauman': 18}
cbc,18,"{'$minia$': 12, 'ã$cawu̶r': 5}"
cbi,18,{'$pishku': 18}
cbk,18,{'$pajaro$': 18}
cbr,18,"{'$pëchi': 14, '$pëñanac': 3}"
cbs,18,{'$peiyabu': 16}
cbt,18,"{'$inaira': 10, 'ntëhuano': 4, ""oporo'sa"": 3}"
cbu,18,"{'$tsiripi': 9, '$kpurang': 4, 'anatkazi': 2}"
cbv,18,"{'$jwébehw': 14, 't$jóopwã': 2}"
cce,18,{'$sinyana': 17}
cco,18,{'$ta̱': 15}
ceb,135,"{'langgam': 80, 'lupad$ng': 49}"
ceg,18,{'$chɨpɨrm': 18}
ces,135,"{'$pt': 81, '$létajíc': 49}"
cfm,134,{'$vate': 119}
cgc,18,{'$mga$yup': 17}
cha,18,{'$paluma': 17}
chd,18,"{'$naiyulp': 14, ""caƚ'hui$"": 4}"
che,135,{'$олхазар': 120}
chf,18,{'$mut': 18}
chk,135,"{'$machang': 95, '$mansüsü': 33}"
chq,18,"{'$ton¹$': 11, 'oö²¹$tsí': 4, 'i²$jooön': 2}"
chr,18,"{'$cisqa$': 10, 'ninohili': 5, '$cisqano': 2}"
chu,17,{'$птиц': 17}
chv,18,"{'ен$кайӑк': 14, 'ем$вӗҫсе': 3}"
chz,18,"{""$ta̱'"": 17}"
cjo,18,"{'$jenokiw': 9, '$konthaw': 2, 'imapaeni': 2, 'zijopaen': 2}"
cjp,18,{'$du$': 18}
cjs,2,{'$қуштар$': 2}
cjv,18,{'$kapuka$': 18}
ckb,18,{'$باڵنده\u200c': 18}
cko,18,"{'$anumam$': 12, '$ajaanna': 5}"
ckt,4,{'$пчиӄэ': 3}
cle,18,"{'$ta̱³$': 13, 'xa³$cueé': 5}"
clu,18,{'mga$pisp': 16}
cly,18,"{'$quiñi$': 13, ""ti$loo$'"": 3}"
cme,18,"{'$huriimb': 15, 'dũnaamba': 2}"
cmn,135,{'鸟': 119}
cmo,18,"{'$rsuăn$': 6, '$siŭm$c': 4, 'iŭm$)$h': 4, 'h$siŭm$': 2}"
cnh,135,"{'ngmi$va$': 35, '$vate$': 19, '$va$vial': 7, '$saram$': 27, '$zuang': 8, '$va$nih$': 4}"
cni,18,"{'$tsimeri': 8, '$vanqui': 4, '$contsar': 3, '$tisoni': 2}"
cnl,18,{'$to̱³$': 18}
cnt,18,"{'$i₁tan₅$': 12, ""já'₂$i₂'"": 6}"
cnw,18,{'$vano': 18}
coe,18,"{""$pĩ'a"": 16}"
cof,18,"{'$pichu': 14, '$baro': 4}"
cok,18,"{""$pina'a"": 14, ""ej$rá'ar"": 3}"
con,18,"{'$chhirir': 12, '$manguqq': 3, '$pindo': 3}"
cop,18,{'ϩⲁⲗⲁϯ$': 17}
cor,18,"{'$ydhyn$': 15, '$edhen$': 3}"
cot,18,"{'$araguet': 9, 'a$tsimer': 7}"
cpa,18,"{'$jáh²$ŋi': 5, '³lah$jáh': 5, '$tan¹²$': 6}"
cpb,18,"{'i$tsimer': 12, 'ero$iwan': 2, '$shiwank': 2}"
cpc,18,{'$tsimiri': 18}
cpu,18,{'$tsimeri': 18}
cpy,12,{'$tsimer': 12}
crh,48,"{'$къушлар': 38, '$къуш$': 7}"
crm,18,{'$ᐱᓓ': 18}
crn,18,"{""$pina'a"": 14, ""aj$rá'ar"": 3}"
crq,16,{'$ajwejna': 16}
crs,135,{'$zwazo$': 128}
crt,17,{'$ajwejna': 17}
crx,18,"{""$dut'ai"": 18}"
csk,18,{'$basuu': 18}
cso,18,"{'$tan³²$': 15, 'ún³$cuá²': 3}"
csy,135,{'$vacim': 122}
cta,18,"{'aa$quiñi': 5, ""'ni$lu'b"": 4, 'u$naa$cu': 3, 'i̱$quiñi': 2, ""a$lo$na'"": 2}"
ctd,135,{'$vasa': 124}
ctp,18,"{'n$kiñi$': 7, ""$lo$'ni$"": 3, ""ñan$i'$"": 2, ""$'ni$ndu"": 2, ""a'$i'$"": 2}"
ctu,18,"{""ma'tye'm"": 16}"
cub,18,"{'$míjina': 13, 'a$vʉivʉ': 4}"
cuc,18,{'$jon⁴³ta': 18}
cui,18,"{'pupunaew': 14, 'in$nae$t': 3}"
cuk,18,"{'$sikwima': 11, 'i-muski': 3, 'a$nuumar': 2}"
cul,18,"{'eppe$caj': 6, 'ppiriri$': 8, 'a$meme$a': 3}"
cut,18,{'$ya̱hda$': 18}
cux,18,"{""$'yaad"": 9, ""$'yáád"": 8}"
cwe,18,{'dege$': 18}
cwt,18,{'$bilele$': 17}
cya,18,"{'$quiñi$': 13, ""i$loo$'n"": 3}"
cym,135,"{'$ehedia': 52, '$aderyn$': 39, '$adar': 40}"
czt,18,{'$pavaw': 16}
daa,18,"{'$ɗiiɗ': 15, 'uk$poypi': 3}"
dad,18,{'$ninã$': 18}
dah,18,{'$nu$': 16}
dak,28,"{'aku$kiny': 19, 'itkadan$': 5}"
dan,135,"{'yvende$s': 64, 'fugl': 66}"
dar,8,{'$арцант': 8}
ded,30,"{'$fae': 8, '$neng$sa': 5, 'iu$gbome': 3, 'u$yang$': 3, 'amberec$': 3, '$neng': 8}"
des,18,{'irimagʉ$': 16}
deu,135,"{'vögel': 46, 'fliegend': 50, 'vogel': 33}"
dgc,18,{'$manok$': 18}
dgi,18,"{'$lili$': 14, 'ʋ̃-vuri$': 3}"
dgr,42,"{""$k'edèe$"": 28, '$chı̨ą$': 11}"
dgz,18,{'$nenip': 17}
dhg,2,{'äwarraṉꞌ': 2}
dhm,18,{'ovidhila': 18}
dig,18,{'yama$a$m': 16}
dik,18,{'$diæt$': 18}
dip,18,{'$diɛt$': 18}
dis,18,"{'$dao$but': 10, 'adi$dao$': 3}"
dje,18,{'$cur': 18}
djk,18,{'$foo$': 17}
djr,18,"{'$buṯthu': 10, '$warraka': 8}"
dng,4,{'чёр$': 4}
dnj,18,"{'$‑maa$‑n': 13, '$‑maa$‑y': 2}"
dob,18,{'$manuwa': 17}
dop,18,{'$sumasɩ$': 16}
dow,18,{'$nɔɔs$': 18}
dtp,18,{'$tombolo': 18}
dts,18,"{'$sasaabe': 14, '$sasaa$': 4}"
due,18,{'manok': 16}
dug,18,{'$a$kubur': 18}
duo,18,"{'anok$a$h': 12, '$manakta': 3, 'a$manok$': 3}"
dur,18,"{'$nɔ́g$wa': 13, '$nɔ́g$gb': 2, '$wó': 2}"
