language,decision,decision_panlex
aai,polysemy,no translations
aak,polysemy,overlap
aau,polysemy,match
aaz,one-to-one,no translations
abt,polysemy,overlap
abx,one-to-one,overlap
aby,polysemy,overlap
aca,one-to-one,overlap
acd,one-to-one,overlap
ace,polysemy,match
acf,polysemy,no overlap
ach,one-to-one,no overlap
acn,one-to-one,no overlap
acr,polysemy,no translations
acu,polysemy,no overlap
ade,one-to-one,overlap
adh,one-to-one,no overlap
adi,one-to-one,no translations
adj,ambiguity,overlap
adl,one-to-one,no overlap
ady,one-to-one,match
adz,one-to-one,no overlap
aeb,one-to-one,overlap
aeu,one-to-one,no translations
aey,polysemy,match
afr,one-to-one,match
agd,polysemy,no overlap
agg,polysemy,no overlap
agm,polysemy,overlap
agn,one-to-one,no overlap
agr,polysemy,match
agt,one-to-one,match
agu,polysemy,overlap
agw,polysemy,no overlap
agx,one-to-one,no overlap
ahk,one-to-one,match
aia,polysemy,no overlap
aii,one-to-one,no overlap
aim,one-to-one,no translations
aji,one-to-one,no overlap
ajz,one-to-one,overlap
akb,polysemy,match
ake,polysemy,no overlap
akh,ambiguity,no overlap
ald,polysemy,match
alj,one-to-one,no translations
aln,one-to-one,no overlap
alp,one-to-one,match
alq,one-to-one,no overlap
alt,one-to-one,match
aly,polysemy,no overlap
alz,one-to-one,no overlap
ame,one-to-one,overlap
amf,polysemy,match
amh,one-to-one,no translations
amk,polysemy,match
amm,ambiguity,overlap
amn,polysemy,no overlap
amp,ambiguity,overlap
amr,polysemy,no overlap
amu,polysemy,no overlap
amx,polysemy,no overlap
ann,one-to-one,overlap
anv,one-to-one,match
aoi,polysemy,match
aoj,polysemy,no overlap
aom,polysemy,overlap
aon,polysemy,overlap
aoz,polysemy,match
apb,one-to-one,overlap
ape,polysemy,overlap
apn,polysemy,overlap
apr,polysemy,overlap
apt,one-to-one,no overlap
apu,polysemy,overlap
apw,one-to-one,no overlap
apy,polysemy,overlap
apz,polysemy,overlap
arb,ambiguity,overlap
are,one-to-one,no overlap
arl,one-to-one,no overlap
arn,polysemy,match
arp,one-to-one,overlap
ary,one-to-one,no overlap
arz,ambiguity,overlap
asg,one-to-one,no translations
aso,one-to-one,overlap
ata,polysemy,overlap
atb,one-to-one,overlap
atd,polysemy,overlap
atg,polysemy,no translations
att,one-to-one,match
auc,polysemy,overlap
aui,one-to-one,overlap
auy,one-to-one,overlap
ava,one-to-one,match
avt,polysemy,match
avu,polysemy,no translations
awa,polysemy,no translations
awb,one-to-one,match
awi,polysemy,overlap
awx,one-to-one,no overlap
ayo,polysemy,overlap
ayr,polysemy,match
aze,polysemy,no translations
azg,polysemy,overlap
azz,polysemy,overlap
bak,one-to-one,match
bam,one-to-one,match
ban,one-to-one,match
bao,one-to-one,no overlap
bar,one-to-one,no overlap
bav,one-to-one,match
bba,polysemy,no overlap
bbb,polysemy,overlap
bbc,polysemy,match
bbj,one-to-one,no overlap
bbr,polysemy,match
bch,polysemy,no overlap
bci,polysemy,match
bcl,one-to-one,match
bco,one-to-one,no overlap
bcw,polysemy,overlap
bdd,one-to-one,match
bdh,one-to-one,no overlap
bea,one-to-one,no overlap
bef,polysemy,match
bel,one-to-one,match
bem,one-to-one,overlap
ben,polysemy,match
beq,one-to-one,overlap
bex,one-to-one,no overlap
bfd,one-to-one,no overlap
bfo,one-to-one,no translations
bgr,one-to-one,no translations
bgs,one-to-one,overlap
bgz,polysemy,no translations
bhg,one-to-one,match
bhl,polysemy,match
bhp,polysemy,match
bib,polysemy,no overlap
big,one-to-one,no translations
bim,one-to-one,match
bis,polysemy,match
biu,one-to-one,no translations
biv,one-to-one,no overlap
bjr,polysemy,match
bjv,polysemy,match
bkd,one-to-one,match
bkq,one-to-one,no overlap
bku,polysemy,no translations
bkv,one-to-one,no overlap
blh,one-to-one,no overlap
blw,polysemy,match
blz,polysemy,no translations
bmb,one-to-one,no translations
bmh,polysemy,match
bmk,one-to-one,no translations
bmq,one-to-one,no translations
bmr,polysemy,no overlap
bmu,polysemy,match
bnj,one-to-one,no translations
bnp,polysemy,no overlap
boa,one-to-one,no overlap
bod,polysemy,overlap
boj,polysemy,match
bom,one-to-one,overlap
bon,one-to-one,match
box,one-to-one,match
bpr,one-to-one,match
